Emotions,Path
neutral,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_01/03-01-01-01-01-02-01.wav
fear,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_01/03-01-06-01-01-01-01.wav
sad,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_01/03-01-04-02-01-01-01.wav
angry,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_01/03-01-05-02-01-01-01.wav
sad,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_01/03-01-04-02-02-02-01.wav
sad,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_01/03-01-04-01-01-01-01.wav
sad,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_01/03-01-04-02-01-02-01.wav
calm,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_01/03-01-02-02-02-02-01.wav
sad,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_01/03-01-04-01-02-02-01.wav
angry,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_01/03-01-05-01-02-01-01.wav
calm,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_01/03-01-02-01-02-01-01.wav
angry,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_01/03-01-05-01-02-02-01.wav
fear,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_01/03-01-06-01-01-02-01.wav
happy,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_01/03-01-03-01-01-02-01.wav
happy,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_01/03-01-03-01-01-01-01.wav
happy,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_01/03-01-03-02-01-01-01.wav
angry,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_01/03-01-05-02-02-02-01.wav
sad,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_01/03-01-04-01-01-02-01.wav
angry,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_01/03-01-05-02-01-02-01.wav
neutral,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_01/03-01-01-01-01-01-01.wav
angry,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_01/03-01-05-01-01-01-01.wav
fear,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_01/03-01-06-01-02-01-01.wav
happy,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_01/03-01-03-02-01-02-01.wav
calm,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_01/03-01-02-02-02-01-01.wav
calm,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_01/03-01-02-02-01-02-01.wav
sad,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_01/03-01-04-01-02-01-01.wav
happy,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_01/03-01-03-01-02-01-01.wav
disgust,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_01/03-01-07-01-01-01-01.wav
surprise,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_01/03-01-08-01-02-01-01.wav
surprise,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_01/03-01-08-01-02-02-01.wav
surprise,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_01/03-01-08-02-02-02-01.wav
surprise,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_01/03-01-08-02-01-02-01.wav
disgust,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_01/03-01-07-02-01-02-01.wav
fear,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_01/03-01-06-02-02-01-01.wav
disgust,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_01/03-01-07-02-02-01-01.wav
fear,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_01/03-01-06-02-02-02-01.wav
fear,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_01/03-01-06-02-01-01-01.wav
surprise,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_01/03-01-08-02-01-01-01.wav
surprise,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_01/03-01-08-01-01-02-01.wav
fear,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_01/03-01-06-02-01-02-01.wav
disgust,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_01/03-01-07-01-01-02-01.wav
disgust,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_01/03-01-07-01-02-02-01.wav
disgust,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_01/03-01-07-01-02-01-01.wav
surprise,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_01/03-01-08-02-02-01-01.wav
surprise,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_01/03-01-08-01-01-01-01.wav
disgust,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_01/03-01-07-02-02-02-01.wav
disgust,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_01/03-01-07-02-01-01-01.wav
happy,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_02/03-01-03-01-01-01-02.wav
happy,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_02/03-01-03-02-01-01-02.wav
calm,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_02/03-01-02-02-01-02-02.wav
calm,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_02/03-01-02-02-02-01-02.wav
angry,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_02/03-01-05-02-01-02-02.wav
happy,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_02/03-01-03-02-02-02-02.wav
calm,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_02/03-01-02-01-01-02-02.wav
calm,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_02/03-01-02-02-01-01-02.wav
angry,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_02/03-01-05-01-01-01-02.wav
neutral,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_02/03-01-01-01-01-02-02.wav
calm,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_02/03-01-02-02-02-02-02.wav
angry,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_02/03-01-05-01-01-02-02.wav
neutral,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_02/03-01-01-01-02-02-02.wav
happy,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_02/03-01-03-01-02-01-02.wav
angry,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_02/03-01-05-01-02-02-02.wav
angry,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_02/03-01-05-01-02-01-02.wav
neutral,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_02/03-01-01-01-01-01-02.wav
sad,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_02/03-01-04-01-02-02-02.wav
calm,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_02/03-01-02-01-01-01-02.wav
calm,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_02/03-01-02-01-02-01-02.wav
sad,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_02/03-01-04-02-01-01-02.wav
sad,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_02/03-01-04-02-02-01-02.wav
sad,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_02/03-01-04-02-02-02-02.wav
sad,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_02/03-01-04-01-01-01-02.wav
happy,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_02/03-01-03-01-01-02-02.wav
sad,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_02/03-01-04-01-01-02-02.wav
happy,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_02/03-01-03-01-02-02-02.wav
happy,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_02/03-01-03-02-02-01-02.wav
calm,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_02/03-01-02-01-02-02-02.wav
angry,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_02/03-01-05-02-01-01-02.wav
sad,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_02/03-01-04-02-01-02-02.wav
neutral,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_02/03-01-01-01-02-01-02.wav
happy,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_02/03-01-03-02-01-02-02.wav
sad,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_02/03-01-04-01-02-01-02.wav
fear,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_02/03-01-06-02-02-01-02.wav
surprise,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_02/03-01-08-02-02-01-02.wav
disgust,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_02/03-01-07-02-02-02-02.wav
surprise,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_02/03-01-08-01-01-01-02.wav
disgust,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_02/03-01-07-02-01-01-02.wav
disgust,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_02/03-01-07-01-02-01-02.wav
disgust,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_02/03-01-07-02-02-01-02.wav
surprise,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_02/03-01-08-02-01-02-02.wav
fear,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_02/03-01-06-02-02-02-02.wav
fear,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_02/03-01-06-02-01-02-02.wav
surprise,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_02/03-01-08-01-02-01-02.wav
surprise,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_02/03-01-08-01-02-02-02.wav
disgust,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_02/03-01-07-01-01-01-02.wav
surprise,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_02/03-01-08-02-01-01-02.wav
fear,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_02/03-01-06-01-01-02-02.wav
fear,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_02/03-01-06-01-02-02-02.wav
fear,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_02/03-01-06-01-02-01-02.wav
disgust,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_02/03-01-07-01-01-02-02.wav
angry,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_02/03-01-05-02-02-01-02.wav
surprise,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_02/03-01-08-02-02-02-02.wav
fear,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_02/03-01-06-02-01-01-02.wav
surprise,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_02/03-01-08-01-01-02-02.wav
disgust,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_02/03-01-07-02-01-02-02.wav
disgust,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_02/03-01-07-01-02-02-02.wav
fear,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_02/03-01-06-01-01-01-02.wav
angry,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_02/03-01-05-02-02-02-02.wav
calm,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_03/03-01-02-01-02-01-03.wav
happy,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_03/03-01-03-02-01-02-03.wav
calm,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_03/03-01-02-01-02-02-03.wav
calm,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_03/03-01-02-01-01-01-03.wav
sad,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_03/03-01-04-02-01-01-03.wav
sad,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_03/03-01-04-02-01-02-03.wav
sad,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_03/03-01-04-01-01-01-03.wav
neutral,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_03/03-01-01-01-01-02-03.wav
sad,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_03/03-01-04-02-02-01-03.wav
happy,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_03/03-01-03-01-01-01-03.wav
happy,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_03/03-01-03-02-01-01-03.wav
neutral,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_03/03-01-01-01-02-01-03.wav
happy,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_03/03-01-03-01-02-01-03.wav
calm,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_03/03-01-02-02-01-02-03.wav
calm,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_03/03-01-02-02-02-02-03.wav
happy,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_03/03-01-03-02-02-02-03.wav
sad,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_03/03-01-04-01-02-02-03.wav
sad,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_03/03-01-04-01-02-01-03.wav
calm,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_03/03-01-02-02-01-01-03.wav
happy,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_03/03-01-03-01-01-02-03.wav
sad,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_03/03-01-04-01-01-02-03.wav
calm,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_03/03-01-02-02-02-01-03.wav
happy,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_03/03-01-03-01-02-02-03.wav
neutral,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_03/03-01-01-01-02-02-03.wav
calm,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_03/03-01-02-01-01-02-03.wav
happy,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_03/03-01-03-02-02-01-03.wav
neutral,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_03/03-01-01-01-01-01-03.wav
angry,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_03/03-01-05-01-02-02-03.wav
surprise,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_03/03-01-08-02-02-01-03.wav
disgust,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_03/03-01-07-01-02-01-03.wav
surprise,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_03/03-01-08-01-02-01-03.wav
fear,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_03/03-01-06-02-02-02-03.wav
fear,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_03/03-01-06-02-01-01-03.wav
fear,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_03/03-01-06-01-01-01-03.wav
angry,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_03/03-01-05-01-01-01-03.wav
disgust,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_03/03-01-07-02-01-01-03.wav
angry,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_03/03-01-05-02-01-02-03.wav
fear,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_03/03-01-06-01-02-01-03.wav
fear,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_03/03-01-06-02-01-02-03.wav
disgust,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_03/03-01-07-01-01-02-03.wav
angry,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_03/03-01-05-02-01-01-03.wav
angry,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_03/03-01-05-02-02-01-03.wav
sad,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_03/03-01-04-02-02-02-03.wav
angry,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_03/03-01-05-01-01-02-03.wav
surprise,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_03/03-01-08-01-02-02-03.wav
surprise,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_03/03-01-08-02-01-02-03.wav
disgust,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_03/03-01-07-01-02-02-03.wav
surprise,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_03/03-01-08-01-01-02-03.wav
disgust,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_03/03-01-07-01-01-01-03.wav
angry,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_03/03-01-05-02-02-02-03.wav
fear,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_03/03-01-06-01-01-02-03.wav
fear,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_03/03-01-06-02-02-01-03.wav
disgust,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_03/03-01-07-02-01-02-03.wav
disgust,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_03/03-01-07-02-02-01-03.wav
surprise,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_03/03-01-08-01-01-01-03.wav
angry,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_03/03-01-05-01-02-01-03.wav
fear,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_03/03-01-06-01-02-02-03.wav
surprise,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_03/03-01-08-02-01-01-03.wav
disgust,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_03/03-01-07-02-02-02-03.wav
surprise,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_03/03-01-08-02-02-02-03.wav
calm,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_04/03-01-02-01-02-01-04.wav
calm,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_04/03-01-02-02-01-02-04.wav
calm,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_04/03-01-02-02-02-01-04.wav
happy,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_04/03-01-03-02-01-01-04.wav
happy,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_04/03-01-03-01-02-01-04.wav
neutral,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_04/03-01-01-01-01-02-04.wav
neutral,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_04/03-01-01-01-01-01-04.wav
calm,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_04/03-01-02-01-02-02-04.wav
happy,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_04/03-01-03-01-02-02-04.wav
calm,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_04/03-01-02-02-02-02-04.wav
neutral,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_04/03-01-01-01-02-01-04.wav
happy,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_04/03-01-03-01-01-02-04.wav
happy,/content/drive/MyDrive/Colab Notebooks/speech/dataset/ravdess/audio_speech_actors_01-24/Actor_04/03-01-03-01-01-01-04.wav
